Num_Theatres_Widest,Num_Theatres_Opening,Franchise_Raw,Google_Trends,sentiment,metacritics,director_nom,director_win,numNominatedActors,numWinningActors,totNumNom,totNumWins,Adjusted Budget,Adjusted Worldwide,Adjusted Domestic,runtime,male_18_29_ratings,male_30_44_ratings,male_45_plus_ratings,female_18_29_ratings,female_30_44_ratings,female_45_plus_ratings,Adventure,Action,Animation,Family,Science Fiction,Comedy,Drama,Romance,Horror,Mystery,Documentary,Music,Thriller,Crime,War,total_language,total_countries,PG-13,PG,R,G,NC-17,NR,Mon,Tue,Wed,Thurs,Fri,Sat,Sun,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2003,2003,0,1,0.9587,42,0,0,0,0,0,0,20.72509458,7.526481715,2.018427697,97,6.6,6.3,6,6.1,5.8,5.8,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2875,2875,0,0,0.8971,61,0,0,0,0,0,0,20.72509458,38.61412358,3.645107416,108,6.5,6.2,6.1,6.4,6.1,5.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2106,2104,0,1,0,45,0,0,0,0,0,0,20.74491279,17.09883721,2.705479069,108,6.1,6,6,6.5,6.3,6.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1210,601,0,1,0.5574,55,0,0,3,1,3,1,20.74491279,46.89607558,3.157464193,120,6.8,6.6,6.7,7.4,7.2,7.3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1922,1898,0,1,-0.802,33,0,0,0,0,0,0,20.76,41.63533333,3.278150516,109,5.8,5.6,5.6,5.7,5.5,5.6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017,2012,0,1,0.8126,52,0,0,0,0,0,0,20.83016477,54.59695817,3.416999207,101,6.2,5.9,5.9,6.3,6.1,6.3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2512,2511,0,2,0.9325,33,0,0,1,0,5,0,20.83016477,0.206108999,-4.250842735,100,6.4,6.1,6.2,6.8,6.5,6.7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
89,5,0,0,-0.2732,52,0,0,0,0,0,0,20.83417402,1.527112232,0.423378522,109,7.3,7,6.9,7.4,7.2,7.3,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2503,2503,0,1,0.9476,33,0,0,0,0,0,0,20.89371981,46.10547504,3.708985941,89,4.3,4.2,4.6,4.9,4.5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2521,2521,0,0,-0.765,33,0,0,0,0,0,0,20.89371981,20.75442834,2.673204231,103,5.7,5.3,5.1,6.3,5.8,5.8,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1163,1163,0,0,0.3818,34,0,0,1,0,1,0,20.91653666,2.429017161,0.482021607,93,6,5.9,5.6,6.4,5.9,6.6,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2868,2868,0,2,0.9382,44,0,0,0,0,0,0,20.96328029,43.72643819,3.592235766,103,6.7,6.5,6.5,6.8,6.7,6.8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
