Num_Theatres_Widest,Num_Theatres_Opening,Franchise_Raw,Google_Trends,sentiment,metacritics,director_nom,director_win,numNominatedActors,numWinningActors,totNumNom,totNumWins,Adjusted Budget,Adjusted Worldwide,Adjusted Domestic,runtime,male_18_29_ratings,male_30_44_ratings,male_45_plus_ratings,female_18_29_ratings,female_30_44_ratings,female_45_plus_ratings,Adventure,Action,Animation,Family,Science Fiction,Comedy,Drama,Romance,Horror,Mystery,Documentary,Music,Thriller,Crime,War,total_language,total_countries,PG-13,PG,R,G,NC-17,NR,Mon,Tue,Wed,Thurs,Fri,Sat,Sun,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2842,2742,0,#N/A,-0.2732,45,0,0,2,2,3,2,103.9222615,310.8498233,5.035287687,136,7.2,7,6.5,6.9,6.6,6.3,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3396,3356,0,1,-0.9349,47,0,0,1,0,1,0,104.1508238,248.3174905,4.578349836,118,5.8,5.7,5.9,6.5,6.3,6.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2459,2459,0,#N/A,-0.9279,49,0,0,1,0,1,0,104.2168675,48.08864028,3.347667085,125,6.6,6.2,6.3,6.9,6.4,6.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2705,2705,0,#N/A,-0.967,19,0,0,0,0,0,0,104.2168675,29.62736661,3.058238287,91,3.6,3.5,3.9,4.3,3.9,4.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2944,2944,0,#N/A,-0.6705,37,0,0,0,0,0,0,104.2168675,98.2616179,3.805820674,116,6.2,6,5.7,6.1,6,5.9,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3182,3182,0,#N/A,0.9277,35,0,0,1,0,1,0,104.2168675,75.4827883,3.912504817,97,5.6,5.4,5.1,5.7,5.2,5.2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3536,3374,1,#N/A,-0.9326,48,0,0,0,0,0,0,104.2168675,412.9965577,5.354509785,124,6,5.7,5.9,6.1,5.9,6.3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2835,2805,0,#N/A,-0.7964,73,2,1,3,1,4,1,104.3135436,206.8617811,4.978363787,130,6.5,6.3,6.5,6.7,6.3,7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3304,3165,1,1,-0.128,73,1,0,2,1,3,1,104.468599,401.8558776,5.503018139,108,7.8,7.7,7.7,7.7,7.6,7.8,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3612,3591,0,#N/A,0.8158,48,0,0,0,0,0,0,104.468599,273.7077295,5.126362182,99,6.8,6.7,6.7,6.9,6.9,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4070,4016,0,2,0.8316,48,0,0,4,1,6,1,104.468599,511.6175523,5.412181479,90,6,5.9,5.9,6.3,6.1,6.3,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3969,3964,1,0,-0.7783,58,0,0,1,0,1,0,105.648855,872.7916031,5.552631109,91,6.8,6.8,6.8,7.1,7.2,7.2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4093,4059,0,1,-0.5423,67,0,0,3,0,3,0,105.648855,443.7251908,5.321519388,83,6.7,6.8,6.8,6.7,6.8,7,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
3455,3455,0,3,0.1531,42,0,0,2,1,4,1,105.875153,109.0514076,3.192584628,119,6.4,6.2,6.1,6.5,6.2,6.3,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3595,3595,0,9,-0.8083,74,0,0,0,0,0,0,105.875153,259.1823745,4.343431797,99,7.4,6.8,6.7,7.8,7.2,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3894,3882,0,12,-0.2263,52,0,0,0,1,0,2,106.396064,285.5670357,4.739489245,102,6.7,6.5,6.6,7,6.9,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3531,3528,0,1,0.9136,64,0,0,1,1,2,1,106.8677326,187.3328488,4.30478176,85,6.8,6.8,6.6,6.8,6.8,6.8,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3565,3565,1,1,-0.8225,62,1,1,5,1,9,1,106.8677326,391.3873547,4.992822546,122,7.1,6.8,6.5,7.1,6.9,6.8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3730,3730,0,6,0.6571,75,0,0,1,0,5,0,106.8677326,428.099564,5.079407211,107,6.9,7.1,7.2,7.1,7.4,7.5,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3053,3049,0,#N/A,0.9912,49,0,0,1,0,1,0,106.9787986,269.1280919,5.151523248,87,4.6,4.5,4.7,5,4.9,5.2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
