Num_Theatres_Widest,Num_Theatres_Opening,Franchise_Raw,Google_Trends,sentiment,metacritics,director_nom,director_win,numNominatedActors,numWinningActors,totNumNom,totNumWins,Adjusted Budget,Adjusted Worldwide,Adjusted Domestic,runtime,male_18_29_ratings,male_30_44_ratings,male_45_plus_ratings,female_18_29_ratings,female_30_44_ratings,female_45_plus_ratings,Adventure,Action,Animation,Family,Science Fiction,Comedy,Drama,Romance,Horror,Mystery,Documentary,Music,Thriller,Crime,War,total_language,total_countries,PG-13,PG,R,G,NC-17,NR,Mon,Tue,Wed,Thurs,Fri,Sat,Sun,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
145,19,0,1,-0.7184,80,0,0,1,0,1,0,8.071878941,17.34363178,1.185518574,136,7.4,7,6.8,7.3,7.1,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
262,6,0,1,0.6249,79,0,0,0,0,0,0,8.073333333,36.21466667,2.361859785,105,7.3,6.9,6.8,7,6.8,6.8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1361,819,0,0,-0.0258,83,0,0,3,1,4,1,8.073333333,54.668,3.818956972,112,7.4,7.3,7.2,7,7.1,7.3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
573,4,0,0,0,88,0,0,1,0,1,0,8.208778173,5.848754448,1.360763616,90,7.6,7.1,6.7,7.1,6.7,6.7,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,868,0,8,-0.7964,67,0,0,1,0,1,0,8.357487923,309.784219,5.112201179,122,7.6,7.5,7.4,7.7,7.7,7.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,9,0,0,-0.886,79,0,0,1,0,2,0,8.399117276,1.199873897,-0.19148574,123,6.5,6,5.9,6.6,6.2,7.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
67,19,0,1,0.4404,55,0,0,1,0,1,0,8.419333333,11.87933333,0.730442965,103,7.3,7.2,7.2,7.3,7.1,7.3,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2124,2123,0,1,0,15,0,0,0,0,0,0,8.433147632,7.589832869,1.733822447,94,5,4.4,4,4.8,4.3,4.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,2,0,1,-0.3322,34,0,0,0,1,0,1,8.47001224,0.056113831,-2.880372953,112,5.4,5,5.2,5.9,5.6,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2809,2809,0,1,0.9682,36,0,0,0,0,0,0,8.47001224,42.87943696,3.319025726,94,6.3,5.8,5.7,6.3,6,5.8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1302,939,0,0,0.5719,62,0,0,4,0,7,0,8.511685117,67.56150062,2.84700964,104,7.6,7.3,7.3,7.5,7.4,7.5,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50,15,0,0,-0.1531,82,0,0,0,0,0,0,8.583969466,30.24198473,0.865880936,124,7.7,7.5,7.4,7.8,7.6,7.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1010,28,0,0,0.8126,68,0,0,2,0,3,0,8.583969466,24.0351145,2.873348978,88,5.8,5.9,5.9,5.6,5.8,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
763,761,0,1,0,85,0,0,3,0,3,0,8.65,30.102,2.676353114,100,7.3,7.1,7.3,7.5,7.3,7.4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2622,2575,0,3,0.8777,56,0,0,0,0,0,0,8.721826809,44.63523132,3.552123074,100,6.4,6.1,6.3,6.8,6.7,6.7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
245,245,0,0,0.0747,57,0,0,2,0,2,0,8.726355612,6.108448928,1.185518574,113,6.5,6.5,6.8,6.8,6.8,6.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2479,2458,0,1,0.2023,72,0,0,1,0,1,0,8.726355612,42.7591425,3.642254347,100,7.8,7.6,7.4,7.7,7.6,7.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2730,2730,0,1,-0.3612,50,0,0,0,0,0,0,8.726355612,11.01702396,2.399441709,104,5.4,4.9,4.8,5.8,5.3,5.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2974,2856,0,5,-0.25,72,0,0,4,0,4,0,8.770595691,82.2243346,4.159279076,92,7,6.9,7,7.5,7.2,7.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,4,0,0,-0.7717,41,0,0,0,0,0,0,8.770595691,3.837135615,-2.124444211,98,6.9,6.7,6.8,7.2,7,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
236,6,0,0,0.866,80,1,0,1,1,1,1,8.770595691,21.59759189,1.255113996,129,7.6,7.3,7.4,7.2,7.2,7.4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
757,742,0,0,-0.5106,63,0,0,1,0,2,0,8.770595691,7.126108999,1.948261177,101,7.3,7,6.9,7.3,7,6.9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1020,5,0,0,0.6709,71,2,0,1,1,1,1,8.771450858,53.03354134,3.510543703,92,7.7,7.6,7.4,7.4,7.4,7.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2766,2766,0,1,-0.7003,76,0,0,1,0,1,0,8.999388005,40.97368421,3.535248835,117,8.1,7.7,7.7,7.7,7.5,7.7,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,33,0,1,-0.3612,68,0,0,0,0,0,0,9.03551532,0.213238162,-1.545345608,107,6.7,6.6,6.6,7.1,6.8,6.9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2230,2027,0,1,0.4019,34,0,0,1,0,2,0,9.043665437,23.93911439,3.134691712,96,4.8,4.7,4.5,5.8,5.3,5.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
200,10,0,1,0.6908,73,0,0,2,0,2,0,9.05394525,16.57568438,1.164307548,105,7.5,7.3,7.2,7.1,7.1,7.2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1905,1864,0,18,-0.3818,69,1,0,4,1,4,1,9.05394525,137.0628019,4.331432308,112,7.8,7.8,7.7,7.9,7.9,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65,5,0,0,0.2509,59,0,0,1,0,1,0,9.05394525,2.089371981,0.331398425,96,6.6,6.5,7,6.9,6.9,7.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,24,0,1,-0.8519,37,0,0,1,0,1,0,9.132265718,0.051407473,-2.967971722,93,6.4,6,6,6.5,6.1,6.3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1614,1611,0,5,-0.9435,61,0,0,0,1,0,1,9.226666667,12.456,2.522202435,92,6.2,6.2,6.2,5.8,6,6.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1941,1941,0,1,0.9761,29,0,0,1,2,2,2,9.226666667,33.44666667,2.95806502,97,5.4,5.4,5.7,5.7,5.7,6.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
524,68,0,0,-0.8625,24,0,0,1,0,1,0,9.226666667,12.22533333,2.474800195,118,6.6,6.1,6.1,7.2,6.7,6.8,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2534,1019,0,11,0,81,2,0,1,1,1,1,9.429505814,290.931686,5.195275704,96,7.4,7.5,7.6,7.6,7.7,7.4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1239,1239,0,1,0,88,2,0,3,2,5,2,9.446177847,66.39313573,3.660075437,114,7.5,7.3,7.4,7.6,7.4,7.8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1823,1823,0,0,-0.7096,69,0,0,0,1,0,1,9.52876377,22.86903305,3.129783727,121,7.3,7.5,7.6,7.2,7.3,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2856,2805,1,2,-0.8316,50,0,0,0,0,0,0,9.52876377,118.4742962,4.333756531,104,6.5,6.3,6.3,6.8,6.5,6.4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
